ID,Fault_Type,Phase,RMS_Voltage,Peak_Voltage,THD,Duration_ms,DWT_Energy_Level1,DWT_Energy_Level2,DWT_Entropy,Signal_Noise_Ratio_dB,Label
1028,Swell,C,272.7,385.65,2.37,90,38.09,5.57,1.38,25.94,2
1029,Transient,A,235.15,400.79,2.87,29,77.85,9.97,2.87,21.42,3
1030,Swell,B,264.75,374.42,3.9,142,29.18,32.72,2.5,39.68,2
1031,Normal,B,226.35,320.11,2.47,285,84.58,42.03,1.76,34.02,0
1032,Swell,B,287.34,406.36,4.17,121,25.41,9.7,1.95,27.6,2
1033,Transient,B,230.18,396.57,3.38,189,81.34,44.94,2.13,28.76,3
1034,Transient,C,230.92,404.27,4.21,30,37.44,49.56,1.3,33.24,3
1035,Transient,B,229.52,434.61,1.63,81,20.89,12.59,2.26,31.88,3
1036,Harmonics,C,230.98,326.65,8.32,161,24.42,5.35,4.01,22.13,4
1037,Normal,C,228.44,323.06,3.14,78,25.24,42.44,3.29,31.68,0
1038,Sag,A,150.54,212.89,2.93,260,76.24,30.06,4.72,27.56,1
1039,Sag,C,142.1,200.96,3.09,180,57.91,8.41,3.79,32.48,1
1040,Swell,B,265.02,374.79,4.21,125,39.01,32.47,4.76,33.43,2
1041,Harmonics,B,223.62,316.25,8.3,66,75.65,48.38,1.62,24.55,4
1042,Swell,A,248.23,351.05,2.01,87,79.7,6.52,3.37,23.73,2
1043,Transient,C,219.75,359.02,4.43,224,47.48,25.29,4.31,21.96,3
1044,Normal,A,236.95,335.1,2.66,103,55.64,40.38,4.53,36.77,0
1045,Normal,B,231.71,327.69,2.96,100,40.62,32.94,4.56,29.92,0
1046,Swell,C,277.6,392.59,3.11,267,28.58,35.93,2.41,34.26,2
1047,Normal,B,226.69,320.59,1.76,94,46.49,20.17,1.06,23.07,0
1048,Sag,B,144.87,204.88,3.49,77,42.01,40.6,3.04,22.56,1
1049,Sag,B,135.1,191.07,2.35,295,54.8,20.44,1.97,27.97,1
1050,Normal,B,237.39,335.73,2.05,299,54.12,21.12,4.31,20.45,0
1051,Transient,C,233.31,383.54,3.44,116,97.47,43.26,3.83,25.81,3
1052,Sag,A,158.18,223.7,2.15,103,16.44,22.53,3.97,27.73,1
1053,Swell,A,276.08,390.44,3.18,182,96.09,42.96,3.75,25.9,2
1054,Harmonics,C,236.69,334.72,7.31,214,64.27,41.14,4.17,23.86,4
1055,Sag,B,143.63,203.12,3.02,158,47.47,42.48,4.95,26.36,1
1056,Harmonics,B,225.45,318.84,7.59,185,30.24,28.38,3.25,38.9,4
1057,Transient,C,227.48,386.75,2.71,242,64.02,10.31,1.23,28.24,3
1058,Normal,C,234.83,332.1,2.35,92,44.92,12.2,2.59,31.6,0
1059,Transient,A,230.07,384.63,5.15,141,38.17,41.89,3.22,29.01,3
1060,Sag,A,129.32,182.89,1.47,99,34.73,9.92,3.64,26.38,1
1061,Harmonics,C,227.26,321.39,10.43,244,46.08,14.3,1.8,30.13,4
1062,Swell,B,268.95,380.35,3.5,247,41.72,29.97,1.75,37.19,2
1063,Sag,A,158.82,224.61,2.79,45,16.62,33.31,4.17,22.65,1
1064,Sag,B,113.99,161.21,3.99,206,96.96,41.95,1.82,23.72,1
1065,Transient,C,234.51,365.87,4.53,245,38.22,42.74,2.71,34.53,3
1066,Swell,B,258.69,365.84,4.39,191,70.33,33.91,4.72,36.83,2
1067,Sag,C,149.8,211.85,2.02,205,98.67,16.14,1.32,21.4,1
1068,Normal,C,233.77,330.6,2.07,149,69.14,37.95,2.42,36.41,0
1069,Harmonics,A,226.43,320.22,13.54,126,47.92,40.72,2.86,30.75,4
1070,Transient,B,238.19,371.37,3.07,118,14.7,9.3,3.64,32.94,3
1071,Normal,A,221.92,313.84,1.83,274,56.26,30.79,4.7,32.91,0
1072,Swell,B,270.12,382.01,3.15,226,60.39,40.54,3.96,32.5,2
1073,Transient,C,228.59,396.2,5.1,137,96.14,36.36,3.38,29.21,3
1074,Transient,B,234.32,373.79,6.03,281,99.5,49.1,4.53,31.5,3
1075,Normal,C,232.1,328.24,2.35,112,74.69,32.16,4.67,21.0,0
1076,Harmonics,B,235.83,333.52,9.13,41,99.68,40.43,2.63,36.47,4
1077,Transient,A,232.22,411.58,5.8,137,66.07,5.31,1.17,38.08,3
1078,Sag,C,151.06,213.63,2.36,88,53.32,8.53,3.24,26.64,1
1079,Harmonics,A,230.37,325.79,13.58,271,82.54,36.18,1.02,28.56,4
1080,Harmonics,B,234.84,332.11,7.71,27,74.1,31.09,1.69,25.23,4
1081,Normal,B,237.08,335.28,1.79,167,48.06,30.46,2.46,38.72,0
1082,Swell,C,277.21,392.04,3.82,72,59.73,14.7,1.8,39.81,2
1083,Swell,A,279.76,395.65,4.43,230,71.18,42.39,1.17,20.46,2
1084,Swell,B,277.06,391.83,3.35,259,91.92,33.37,3.32,27.4,2
1085,Normal,B,231.81,327.83,1.73,258,23.49,16.88,4.79,27.34,0
1086,Sag,A,154.13,217.98,1.13,177,56.97,33.66,1.94,31.58,1
1087,Sag,C,147.8,209.03,2.68,264,44.75,40.41,3.48,21.65,1
1088,Harmonics,A,224.84,317.97,11.82,62,22.13,46.12,2.88,31.38,4
1089,Sag,B,128.48,181.7,3.44,101,49.86,19.33,3.89,36.03,1
1090,Normal,A,232.39,328.65,1.28,143,87.17,5.01,2.45,34.75,0
1091,Sag,A,152.97,216.34,2.54,123,16.0,48.92,4.83,21.21,1
1092,Harmonics,B,229.47,324.52,13.65,254,45.34,32.72,1.5,31.59,4
1093,Transient,C,232.96,398.4,3.0,56,13.01,41.71,2.8,26.5,3
1094,Sag,A,155.15,219.42,3.91,23,90.78,47.6,2.59,24.34,1
1095,Transient,C,229.83,408.21,4.74,53,14.86,39.33,3.81,31.96,3
1096,Swell,B,270.92,383.14,3.15,65,31.61,9.54,2.04,23.54,2
1097,Transient,C,231.5,415.35,5.45,116,38.01,39.65,4.47,30.38,3
1098,Normal,B,233.71,330.52,1.81,52,65.74,15.45,1.0,35.14,0
1099,Transient,B,227.49,393.57,7.81,118,26.9,41.95,4.66,30.74,3
1100,Sag,C,150.89,213.39,2.51,216,50.75,15.95,4.51,34.86,1
1101,Swell,B,275.09,389.04,4.65,141,98.47,17.34,1.81,28.84,2
1102,Swell,A,273.95,387.42,3.27,33,54.73,6.44,3.45,34.32,2
1103,Sag,A,136.64,193.24,4.07,292,84.51,22.23,3.36,34.42,1
1104,Normal,C,231.21,326.97,1.14,107,53.99,23.36,1.85,29.65,0
1105,Transient,A,239.83,409.34,4.08,156,35.64,6.09,3.5,25.05,3
1106,Normal,A,240.91,340.69,2.12,36,99.13,35.74,3.57,20.3,0
1107,Harmonics,B,225.8,319.32,10.61,37,49.13,14.03,1.43,28.8,4
1108,Normal,C,228.94,323.77,2.16,16,12.87,26.12,4.7,27.95,0
1109,Harmonics,C,225.82,319.36,9.79,280,52.97,27.26,2.96,30.78,4
1110,Transient,A,236.07,380.57,2.04,258,50.98,41.47,4.31,28.23,3
1111,Swell,C,270.45,382.48,3.38,73,88.63,25.78,1.08,24.55,2
1112,Harmonics,A,226.49,320.31,8.28,24,78.64,24.23,3.51,34.55,4
1113,Swell,A,280.18,396.23,1.15,144,90.19,19.99,1.59,21.93,2
1114,Normal,A,231.71,327.69,1.52,237,71.2,8.86,2.84,34.87,0
1115,Harmonics,C,226.41,320.19,11.9,108,29.06,43.3,2.71,39.24,4
1116,Swell,A,283.25,400.58,4.34,58,39.81,10.34,3.28,38.13,2
1117,Harmonics,A,222.48,314.64,12.99,38,18.21,35.55,3.9,39.3,4
1118,Harmonics,B,231.67,327.63,12.81,242,70.49,32.33,2.66,27.59,4
1119,Harmonics,C,234.32,331.37,8.78,236,81.96,31.13,4.09,26.65,4
1120,Normal,C,230.24,325.6,1.11,45,75.36,27.95,1.52,35.0,0
1121,Swell,A,259.5,366.98,4.35,18,11.06,31.45,3.01,37.47,2
1122,Swell,A,260.75,368.75,2.42,54,94.81,42.04,1.17,29.42,2
1123,Normal,B,229.22,324.17,1.75,229,65.04,40.06,3.88,29.94,0
1124,Transient,B,241.62,392.58,4.33,67,43.73,46.65,4.32,22.18,3
1125,Normal,B,235.31,332.78,1.6,215,22.93,28.51,1.03,26.33,0
1126,Transient,C,232.56,421.52,4.27,45,58.98,11.95,2.0,34.77,3
1127,Swell,B,267.97,378.97,3.67,259,33.27,37.59,4.63,24.71,2
1128,Harmonics,C,230.5,325.98,9.36,289,53.01,15.06,3.82,23.82,4
1129,Harmonics,A,227.53,321.77,5.55,253,88.52,37.04,3.32,21.78,4
1130,Sag,B,142.84,202.01,3.94,103,97.17,25.5,4.32,39.5,1
1131,Sag,A,149.96,212.07,2.75,64,35.62,39.43,2.88,26.35,1
1132,Harmonics,B,227.28,321.43,13.79,272,89.21,44.95,4.83,37.35,4
1133,Normal,B,227.02,321.06,1.03,109,64.14,32.28,2.46,38.09,0
1134,Normal,C,228.74,323.49,1.89,56,66.97,7.39,1.97,35.91,0
1135,Sag,B,156.82,221.78,3.95,242,41.18,5.87,4.3,22.85,1
1136,Harmonics,B,230.54,326.03,12.99,158,59.08,7.3,3.98,30.11,4
1137,Normal,C,230.44,325.89,2.19,250,97.57,11.89,2.08,31.81,0
1138,Sag,C,152.38,215.49,2.79,29,95.53,8.26,2.18,23.87,1
1139,Harmonics,C,227.47,321.69,10.72,100,58.27,17.36,2.92,34.91,4
1140,Harmonics,C,232.72,329.12,11.35,52,86.22,21.94,2.19,37.79,4
1141,Normal,C,236.22,334.07,2.43,35,51.04,20.5,3.77,35.19,0
1142,Sag,C,145.25,205.42,2.3,129,95.05,7.17,1.0,32.0,1
1143,Swell,A,268.26,379.38,4.84,111,11.82,28.58,3.02,30.51,2
1144,Normal,C,230.08,325.38,1.82,120,26.12,9.65,1.21,28.72,0
1145,Normal,C,232.02,328.13,1.65,90,39.41,27.44,4.83,34.69,0
1146,Normal,C,235.18,332.59,2.37,78,14.45,43.19,1.04,38.74,0
1147,Sag,C,138.61,196.02,3.11,221,64.01,36.99,2.22,30.19,1
1148,Sag,C,133.5,188.8,3.74,122,29.37,7.97,3.13,21.24,1
1149,Normal,C,222.4,314.52,0.9,217,16.05,16.39,4.23,23.34,0
1150,Harmonics,A,240.0,339.41,7.65,78,65.83,29.49,3.96,34.12,4
1151,Swell,B,268.13,379.19,4.53,108,62.43,8.2,4.57,20.62,2
1152,Harmonics,B,235.58,333.16,10.7,189,37.21,40.81,2.34,20.06,4
1153,Sag,B,140.97,199.37,5.7,149,65.12,38.21,4.07,38.11,1
1154,Swell,A,281.7,398.39,5.01,255,29.01,22.19,3.17,29.36,2
1155,Swell,C,264.03,373.39,3.71,36,73.9,5.9,3.28,26.69,2
1156,Swell,A,271.36,383.77,3.51,200,49.07,46.78,3.36,32.6,2
1157,Swell,A,260.3,368.12,2.15,52,97.88,45.58,1.51,36.47,2
1158,Normal,B,234.19,331.2,1.87,61,57.68,19.48,1.3,37.91,0
1159,Transient,B,229.75,421.1,8.03,210,87.38,36.51,3.19,32.19,3
1160,Sag,B,163.63,231.4,3.09,202,92.01,23.17,1.83,32.97,1
1161,Harmonics,A,226.72,320.62,9.09,110,63.47,41.05,2.59,24.24,4
1162,Transient,B,232.43,396.31,4.69,176,19.88,30.79,1.1,27.94,3
1163,Normal,B,230.46,325.92,2.62,183,65.56,23.23,2.22,33.65,0
1164,Transient,C,229.66,411.03,6.22,52,61.47,45.24,2.9,38.9,3
1165,Transient,C,234.13,420.27,3.3,187,98.53,22.66,2.45,26.37,3
1166,Normal,C,220.18,311.38,2.58,243,34.72,37.88,4.33,34.3,0
1167,Normal,A,229.27,324.23,2.5,36,22.53,5.15,1.98,34.09,0
1168,Normal,C,226.8,320.75,1.69,52,77.37,24.67,3.82,31.35,0
1169,Normal,A,228.8,323.57,1.58,155,37.77,49.64,1.15,22.57,0
1170,Swell,A,272.14,384.87,3.33,277,12.92,38.51,1.53,22.66,2
1171,Transient,B,223.86,395.81,7.65,236,69.6,10.23,3.22,25.74,3
1172,Sag,A,162.48,229.79,3.78,115,55.81,44.95,3.78,27.89,1
1173,Transient,A,224.39,403.68,7.61,80,42.77,43.36,4.03,32.21,3
1174,Normal,C,229.71,324.86,2.58,61,30.23,13.78,1.66,35.54,0
1175,Sag,C,147.64,208.79,3.14,207,88.94,44.05,2.8,20.31,1
1176,Sag,A,161.39,228.24,5.09,295,12.75,17.75,2.99,20.9,1
1177,Harmonics,A,238.16,336.8,7.8,186,81.58,33.39,3.35,27.07,4
1178,Sag,C,165.63,234.23,2.98,213,89.99,17.15,3.67,36.13,1
1179,Transient,C,227.0,411.87,5.0,18,73.61,37.51,1.34,24.4,3
1180,Transient,A,232.92,343.89,5.57,177,21.76,12.8,2.36,28.17,3
1181,Transient,C,228.38,404.24,6.52,147,63.57,34.6,1.26,23.32,3
1182,Swell,B,265.54,375.53,5.21,290,20.62,42.49,3.82,31.55,2
1183,Swell,B,281.39,397.95,3.98,13,14.97,47.96,1.51,33.95,2
1184,Normal,B,226.25,319.97,2.04,136,20.95,21.35,2.02,30.13,0
1185,Normal,A,235.89,333.6,2.47,24,52.77,43.46,2.89,37.37,0
1186,Swell,C,271.81,384.4,2.59,144,90.02,47.2,1.21,30.02,2
1187,Normal,A,230.56,326.06,1.12,122,78.72,27.99,3.23,28.23,0
1188,Normal,B,227.89,322.29,2.17,219,13.48,38.91,3.1,27.37,0
1189,Sag,A,142.44,201.45,2.13,53,46.46,48.29,1.33,28.72,1
1190,Swell,C,278.29,393.56,4.95,181,78.03,34.02,1.94,34.63,2
1191,Sag,A,133.64,188.99,2.56,250,54.52,10.94,4.82,36.01,1
1192,Normal,B,235.24,332.68,2.72,269,47.06,26.32,2.66,36.84,0
1193,Swell,A,271.89,384.5,3.24,124,16.91,9.79,2.98,32.18,2
1194,Sag,A,137.23,194.07,1.31,157,29.33,42.55,2.68,31.54,1
1195,Swell,A,279.14,394.76,4.2,16,15.05,31.61,4.43,29.61,2
1196,Harmonics,C,221.64,313.45,14.55,96,38.8,20.28,3.72,21.16,4
1197,Swell,A,281.46,398.05,2.22,221,17.28,44.37,4.44,28.07,2
1198,Sag,B,141.98,200.79,4.18,27,45.53,38.49,4.59,38.52,1
1199,Sag,A,146.71,207.48,2.3,31,47.04,12.14,4.69,20.05,1
1200,Sag,B,154.31,218.23,3.07,146,60.5,18.51,2.6,33.8,1
1201,Transient,A,230.63,404.05,3.43,78,82.12,8.16,3.76,23.5,3
1202,Normal,C,228.29,322.85,2.45,280,56.61,45.08,3.35,38.35,0
1203,Normal,C,221.56,313.34,2.42,19,67.73,44.46,3.7,27.14,0
1204,Transient,A,232.45,393.26,3.87,256,56.96,13.71,4.57,20.62,3
1205,Sag,A,126.57,179.0,3.14,261,73.56,6.53,4.37,29.32,1
1206,Normal,B,228.06,322.53,2.8,229,34.06,33.37,3.12,21.38,0
1207,Swell,A,264.12,373.53,3.18,129,94.82,25.75,2.24,29.81,2
1208,Normal,C,232.58,328.92,2.55,173,48.01,16.37,2.49,22.16,0
1209,Normal,C,232.83,329.28,2.47,24,18.2,7.21,2.34,30.19,0
1210,Swell,C,260.31,368.13,1.45,227,49.93,40.78,1.05,30.96,2
1211,Harmonics,A,233.74,330.56,6.79,255,45.28,45.72,3.24,29.01,4
1212,Normal,C,222.3,314.38,1.95,280,38.31,36.51,4.31,34.63,0
1213,Transient,B,228.64,412.38,4.44,128,42.6,38.04,1.42,35.79,3
1214,Swell,A,242.36,342.75,5.12,149,61.26,44.45,4.71,30.58,2
1215,Harmonics,C,238.0,336.59,8.82,213,43.4,33.54,1.07,34.45,4
1216,Normal,B,224.41,317.37,0.92,74,79.81,17.97,2.3,33.58,0
1217,Transient,C,221.86,392.92,3.2,259,20.94,10.24,1.82,21.69,3
1218,Normal,B,237.12,335.34,0.94,296,86.88,6.0,3.44,27.36,0
1219,Sag,A,145.76,206.14,3.63,251,69.65,35.24,2.01,26.5,1
1220,Transient,B,223.25,399.98,4.53,95,62.23,15.15,1.26,32.52,3
1221,Sag,C,154.87,219.02,3.77,19,60.55,31.69,2.49,25.6,1
1222,Harmonics,C,227.4,321.59,7.09,255,44.43,19.66,1.95,30.71,4
1223,Sag,B,158.84,224.63,1.63,117,41.65,7.83,3.49,23.77,1
1224,Transient,A,234.17,414.08,5.18,270,64.58,38.99,4.61,38.31,3
1225,Swell,B,250.82,354.71,2.96,285,13.46,17.38,4.34,25.88,2
1226,Normal,B,228.28,322.83,2.93,232,35.73,24.22,1.41,29.87,0
1227,Transient,A,226.23,367.94,2.28,209,94.85,17.02,2.76,35.92,3
1228,Normal,A,234.97,332.29,2.23,204,12.8,25.76,2.85,30.88,0
1229,Swell,A,270.02,381.86,3.1,37,40.9,35.08,1.91,26.35,2
1230,Harmonics,B,223.53,316.12,5.84,175,59.84,37.3,4.59,38.03,4
1231,Harmonics,A,229.66,324.79,9.21,78,13.06,41.95,3.18,26.76,4
1232,Transient,B,231.55,414.03,3.97,153,60.7,10.12,1.56,26.0,3
1233,Swell,B,265.4,375.33,4.71,251,33.62,16.04,4.86,20.16,2
1234,Sag,B,153.98,217.76,3.14,216,65.14,15.15,4.62,29.5,1
1235,Harmonics,A,227.25,321.38,9.93,144,69.79,14.63,2.73,23.95,4
1236,Sag,B,147.25,208.25,3.86,157,36.6,47.53,4.95,29.47,1
1237,Harmonics,A,236.64,334.67,11.88,155,75.81,34.9,1.52,32.8,4
1238,Sag,C,149.51,211.44,3.92,268,78.95,8.08,4.31,25.24,1
1239,Harmonics,B,237.02,335.19,9.33,145,24.19,31.56,3.97,38.34,4
1240,Sag,C,155.88,220.45,2.6,221,54.41,10.19,2.75,36.85,1
1241,Harmonics,A,224.38,317.31,9.1,269,34.65,31.89,4.2,22.67,4
1242,Swell,B,280.13,396.17,3.64,256,42.48,5.79,1.77,35.05,2
1243,Swell,A,272.3,385.08,2.94,126,22.52,14.85,3.31,21.3,2
1244,Harmonics,A,238.02,336.61,12.43,151,76.99,26.01,1.91,23.99,4
1245,Sag,B,148.7,210.3,2.03,92,75.22,20.74,2.25,31.96,1
1246,Sag,B,134.8,190.64,4.17,32,32.85,39.36,3.75,26.46,1
1247,Harmonics,C,237.94,336.5,13.59,152,63.12,13.63,3.32,30.12,4
1248,Transient,B,228.65,419.19,4.0,33,84.05,35.4,1.35,33.66,3
1249,Normal,A,236.73,334.78,1.68,268,73.37,16.71,4.77,30.6,0
1250,Sag,A,151.69,214.53,2.25,260,10.7,26.39,1.77,32.55,1
1251,Harmonics,B,236.65,334.67,9.55,46,18.9,10.27,2.2,39.2,4
1252,Normal,A,236.39,334.31,1.97,208,47.32,5.8,4.45,23.49,0
1253,Normal,B,230.85,326.47,1.98,235,60.49,11.42,3.23,26.39,0
1254,Normal,A,231.58,327.5,1.92,19,29.11,43.59,1.23,24.31,0
1255,Harmonics,B,230.81,326.42,13.9,257,64.89,37.67,2.26,36.58,4
1256,Transient,C,235.43,358.21,3.21,235,40.91,23.04,4.04,29.65,3
1257,Harmonics,A,231.37,327.21,8.86,39,14.8,22.94,2.08,39.99,4
1258,Normal,B,231.57,327.48,2.52,41,19.83,47.7,2.95,30.06,0
1259,Swell,B,270.39,382.39,2.27,80,22.7,36.92,4.42,33.72,2
1260,Harmonics,B,221.73,313.57,14.23,202,43.11,20.15,2.01,31.53,4
1261,Normal,A,230.17,325.51,2.14,233,30.19,20.88,3.58,30.94,0
1262,Sag,B,146.32,206.92,2.07,21,50.56,24.08,3.04,38.9,1
1263,Sag,B,148.88,210.54,3.83,121,64.62,30.42,4.44,36.43,1
1264,Harmonics,B,232.99,329.5,5.43,15,82.75,16.85,1.02,29.91,4
1265,Harmonics,A,227.34,321.51,10.28,257,42.97,6.66,4.62,22.56,4
1266,Harmonics,B,236.92,335.06,10.73,165,55.15,6.05,2.42,34.8,4
1267,Sag,C,155.67,220.15,2.07,100,71.08,26.28,4.6,26.72,1
1268,Normal,C,238.84,337.76,2.29,250,73.06,16.59,4.69,22.58,0
1269,Normal,A,233.53,330.26,2.63,252,25.04,6.5,2.54,38.07,0
1270,Sag,B,144.67,204.59,2.83,96,59.66,17.33,1.26,21.0,1
1271,Harmonics,A,229.67,324.8,4.76,173,50.5,31.27,2.13,21.55,4
1272,Swell,A,266.74,377.22,3.94,41,84.02,27.71,4.54,37.73,2
1273,Sag,A,158.01,223.46,2.72,261,35.76,16.35,2.53,30.02,1
1274,Sag,A,142.5,201.53,2.59,232,25.17,25.52,4.26,27.61,1
1275,Harmonics,A,237.55,335.94,13.28,140,11.9,20.15,1.58,24.66,4
1276,Normal,B,224.57,317.59,1.27,196,65.52,29.03,1.87,23.28,0
1277,Sag,A,132.15,186.88,3.63,290,20.66,39.02,1.39,28.94,1
1278,Sag,B,142.34,201.3,3.54,29,33.5,20.07,2.86,38.54,1
1279,Swell,C,253.29,358.2,3.55,122,98.6,30.06,3.64,26.66,2
1280,Harmonics,C,232.34,328.58,13.99,154,58.32,30.25,2.54,25.37,4
1281,Normal,A,221.62,313.42,2.11,213,20.9,43.91,2.97,31.44,0
1282,Sag,A,145.25,205.41,3.24,271,21.7,27.35,2.63,33.98,1
1283,Sag,B,162.75,230.17,4.79,125,68.0,37.13,2.17,26.45,1
1284,Swell,A,265.66,375.7,1.83,177,24.82,5.25,1.17,24.88,2
1285,Normal,A,234.05,331.0,2.57,210,55.71,41.46,4.36,38.19,0
1286,Normal,C,230.53,326.02,1.6,246,88.17,33.77,2.79,33.24,0
1287,Sag,C,150.32,212.59,2.72,248,37.54,10.73,3.18,37.16,1
1288,Transient,A,227.89,385.93,3.48,285,73.4,37.05,1.38,34.64,3
1289,Transient,A,221.72,437.29,6.65,23,75.95,31.43,2.8,35.18,3
1290,Swell,A,274.89,388.75,2.4,229,42.73,21.81,4.97,39.9,2
1291,Harmonics,C,229.65,324.78,8.65,214,61.27,14.97,4.03,26.19,4
1292,Transient,C,227.97,384.33,7.89,192,83.61,18.07,2.36,38.72,3
1293,Sag,B,148.05,209.37,4.47,176,76.57,44.18,3.54,36.87,1
1294,Harmonics,C,234.64,331.84,10.67,130,98.38,7.84,4.61,36.28,4
1295,Normal,A,231.9,327.96,2.77,33,57.88,21.06,4.17,35.16,0
1296,Harmonics,A,232.69,329.08,12.55,170,81.04,10.86,1.33,20.42,4
1297,Sag,C,160.61,227.14,3.99,67,66.2,42.15,4.75,36.06,1
1298,Normal,A,224.83,317.96,1.96,170,31.95,18.4,3.24,27.96,0
1299,Harmonics,A,226.27,319.99,4.0,146,40.33,18.31,1.27,37.91,4
1300,Transient,A,232.82,418.68,5.51,181,46.18,48.08,4.98,34.61,3
1301,Harmonics,A,240.38,339.95,9.43,158,74.97,44.78,3.46,22.61,4
1302,Swell,A,261.14,369.3,4.14,96,38.63,12.96,1.41,34.75,2
1303,Normal,C,227.62,321.91,2.43,283,72.09,30.45,1.31,23.25,0
1304,Swell,B,265.76,375.84,4.03,168,90.14,46.22,2.11,23.76,2
1305,Harmonics,A,227.14,321.22,8.48,23,59.42,37.48,4.97,22.63,4
1306,Swell,B,279.96,395.92,3.73,147,95.86,28.0,4.66,39.36,2
1307,Harmonics,C,231.13,326.87,10.77,201,81.38,29.59,2.69,32.37,4
1308,Harmonics,B,224.76,317.85,8.89,104,44.84,33.02,1.63,37.21,4
1309,Normal,A,231.15,326.89,1.97,262,23.62,9.65,3.29,28.03,0
1310,Harmonics,A,234.21,331.23,5.24,16,11.72,6.53,3.74,36.75,4
1311,Sag,A,156.31,221.06,3.38,165,68.89,8.6,1.97,35.47,1
1312,Swell,C,268.34,379.48,3.56,86,96.39,19.81,4.54,36.95,2
1313,Normal,C,234.58,331.74,1.59,116,91.9,46.2,2.32,34.11,0
1314,Harmonics,C,226.69,320.58,9.84,23,77.42,30.43,2.79,26.19,4
1315,Normal,C,232.1,328.24,2.6,46,88.92,29.46,1.95,37.02,0
1316,Sag,C,142.49,201.51,3.54,215,75.38,9.3,2.58,39.66,1
1317,Normal,B,224.27,317.17,1.81,199,78.13,38.73,3.04,36.22,0
1318,Normal,C,228.72,323.45,1.3,82,27.06,6.43,3.7,28.03,0
1319,Normal,A,231.82,327.84,1.25,236,92.84,37.58,3.65,28.82,0
1320,Harmonics,C,227.57,321.83,11.35,282,14.65,14.5,1.3,25.78,4
1321,Swell,A,284.73,402.66,3.4,54,34.57,16.0,1.55,36.98,2
1322,Sag,C,142.57,201.63,2.62,211,91.0,7.24,2.4,22.37,1
1323,Sag,B,158.98,224.83,3.82,138,49.39,48.57,4.82,35.47,1
1324,Transient,A,227.66,415.66,4.15,187,16.9,26.29,4.21,35.78,3
1325,Swell,A,266.29,376.59,4.2,199,23.88,20.04,3.07,24.53,2
1326,Swell,A,292.8,414.09,2.77,19,30.9,44.54,4.34,24.6,2
1327,Transient,B,225.75,404.62,5.46,149,70.32,12.88,2.9,32.97,3
1328,Sag,A,160.71,227.28,3.88,144,22.42,35.3,3.38,25.89,1
1329,Sag,B,161.01,227.7,2.82,19,43.91,33.27,3.19,24.62,1
1330,Harmonics,B,226.42,320.2,5.35,142,50.19,17.45,1.42,21.5,4
1331,Normal,C,237.06,335.25,2.63,227,64.5,26.82,1.42,25.56,0
1332,Swell,C,281.36,397.91,2.27,284,93.14,33.76,4.28,21.18,2
1333,Harmonics,A,240.19,339.68,5.72,31,62.99,19.0,2.8,36.11,4
1334,Harmonics,A,232.5,328.8,13.05,246,21.74,39.32,1.27,20.25,4
1335,Harmonics,C,224.14,316.98,12.2,12,56.93,43.79,2.97,22.55,4
1336,Sag,A,159.29,225.28,2.34,47,16.77,8.3,1.78,29.71,1
1337,Swell,A,273.02,386.11,2.86,218,86.52,21.0,1.92,23.52,2
1338,Harmonics,B,218.69,309.28,9.59,26,78.61,6.76,4.74,21.9,4
1339,Normal,C,222.63,314.85,1.58,241,79.84,34.28,1.85,27.5,0
1340,Normal,B,230.11,325.42,1.17,13,58.02,42.06,4.93,28.22,0
1341,Sag,A,158.58,224.27,4.62,74,13.55,21.35,3.44,22.39,1
1342,Sag,B,145.75,206.12,2.0,170,83.4,32.81,4.78,32.93,1
1343,Sag,B,162.19,229.38,1.33,271,36.32,8.66,1.05,28.55,1
1344,Sag,B,143.42,202.82,3.86,76,98.37,36.59,2.98,28.62,1
1345,Transient,B,231.37,411.26,4.78,24,36.01,26.08,4.96,37.78,3
1346,Normal,B,239.05,338.06,1.59,145,83.81,44.59,4.43,27.5,0
1347,Harmonics,A,223.58,316.18,9.01,91,48.85,48.62,1.56,31.75,4
1348,Transient,A,232.79,367.65,6.51,106,98.71,44.71,4.83,26.85,3
1349,Transient,B,236.53,393.48,6.77,28,23.51,34.69,2.29,26.82,3
1350,Normal,A,225.82,319.36,2.17,178,14.66,46.23,4.63,24.52,0
1351,Normal,B,232.14,328.3,1.0,297,81.12,26.48,4.13,28.63,0
1352,Transient,A,227.58,402.87,3.39,114,47.85,39.43,4.82,36.99,3
1353,Swell,A,273.37,386.6,2.08,199,87.8,36.2,3.5,20.29,2
1354,Sag,B,141.43,200.01,3.03,225,50.66,5.71,4.3,37.58,1
1355,Normal,A,243.81,344.8,2.2,83,88.41,42.24,2.44,32.0,0
1356,Normal,C,230.83,326.44,2.99,74,37.35,29.32,1.76,23.74,0
1357,Sag,C,172.96,244.61,2.73,91,26.07,5.06,4.41,34.3,1
1358,Sag,A,153.57,217.18,3.17,14,23.54,25.97,3.72,36.64,1
1359,Harmonics,B,229.76,324.93,12.61,276,68.66,13.49,1.25,28.49,4
1360,Normal,B,243.95,345.0,0.96,199,32.0,42.48,3.46,38.26,0
1361,Normal,A,228.98,323.82,1.47,277,13.83,23.89,2.84,35.82,0
1362,Transient,B,231.8,388.54,6.37,106,52.17,24.12,2.16,23.44,3
